Racehorse,YOF,Sex,Trainer,Latest,"2 runs ago","3 runs ago","4 runs ago","5 runs ago","6 runs ago"
"AISH (GB)",2018,FILLY,,T:46,T:50,T:53,T:0,T:49,T:64
"AJERO (IRE)",2015,GELDING,"Kim Bailey",T:98,T:86,T:98,T:91,T:x,T:x
"AJRAD (GB)",2018,GELDING,"Michael Attwater",A:62,A:55,A:67,A:59,T:50,T:65
"AKHU NAJLA (GB)",2019,COLT,"Roger Varian",T:92,T:98,T:x,T:x,-,-
"AKI BOMAYE (IRE)",2015,GELDING,"Joe Tizzard",S:0,S:0,S:100,S:99,S:109,S:111
"AKKERINGA (GB)",2018,GELDING,,A:57,T:65,T:74,T:78,T:66,T:65
"AL AASY (IRE)",2017,GELDING,"William Haggas",T:113,T:97,T:108,T:114,T:118,T:120
"AL AGAILA (IRE)",2019,FILLY,"Simon & Ed Crisford",A:92,A:90,A:x,A:x,T:x,T:x
"AL ALAALI (FR)",2020,COLT,"Simon & Ed Crisford",A:x,A:x,A:x,A:x,T:x,-
"AL AMEEN (IRE)",2019,GELDING,"George Boughey",A:74,A:72,A:69,T:52,T:74,T:71
"AL AZHAR (IRE)",2019,GELDING,"Marcus Tregoning",A:47,A:70,T:73,T:39,T:77,T:75
"AL BAAHY (GB)",2019,GELDING,"Kevin Frost",A:69,A:71,A:75,T:0,T:x,T:71
"AL BAREZ (GB)",2019,COLT,"Tom Clover",T:88,A:x,T:x,T:x,-,-
"AL DANCER (FR)",2013,GELDING,"Sam Thomas",S:149,S:144,S:143,H:114,H:143,S:124
"AL GAIYA (FR)",2017,FILLY,"Joe Ponting",H:x,T:56,A:56,A:49,T:48,T:45
"AL GHANIM (GB)",2020,GELDING,"Mark Loughnane",A:46,T:x,A:x,T:x,-,-
"AL HARGAH (IRE)",2020,FILLY,"Richard Hannon",T:63,T:x,A:x,T:x,-,-
"AL HITMI (GB)",2020,COLT,,A:56,T:66,A:66,T:59,A:x,T:x
"AL HUSN (IRE)",2019,FILLY,"Roger Varian",T:100,T:92,A:86,A:x,A:x,T:x
"AL KARRAR (IRE)",2020,COLT,"Tom Clover",T:84,T:106,T:x,-,-,-
"AL KHERB (GB)",2015,GELDING,"Sarah Bowen",T:40,T:46,H:70,H:72,H:93,H:77
"AL KOUT (GB)",2014,GELDING,,T:43,A:67,T:63,A:61,A:69,A:77
