Year Foaled,Sire,Dam,Sex,Consignor,Price (€),Purchaser,Price (£),Price (gns)
2020.0,No Nay Never (USA),Princess Sinead (IRE),Colt,Barronstown Stud,100000.0,BBA Ireland                   ,,
2020.0,Churchill (IRE),Promise Me (IRE),Colt,Rockfield Farm,190000.0,Richard Knight/Sean Quinn     ,,
2020.0,Lope de Vega (IRE),Promised Money (IRE),Colt,Yeomanstown Stud,,Withdrawn,,
2020.0,Belardo (IRE),Prudent Approach (IRE),Colt,Beechvale Stud,,Withdrawn,,
2020.0,Ribchester (IRE),Puff Pastry (GB),Filly,Ballyvolane Stud,46000.0,Clive Cox Racing              ,,
2020.0,Sea The Stars (IRE),Pure Art (GB),Colt,Baroda Stud,75000.0,Ebonos                        ,,
2020.0,Fast Company (IRE),Quad's Melody (IRE),Colt,Old Carhue Stud,52000.0,Eoghan J O'Neill              ,,
2020.0,Acclamation (GB),Quality Time (IRE),Filly,Rathbarry Stud,78000.0,Rabbah Bloodstock             ,,
2020.0,Lope de Vega (IRE),Queen Guenevere (IRE),Filly,Ballylinch Stud,150000.0,Rabbah Bloodstock             ,,
2020.0,Footstepsinthesand (GB),Queen of Carthage (USA),Colt,Coulonces Sales,630000.0,BBA Ireland/Yulong Investments,,
2020.0,New Bay (GB),Queen of Power (IRE),Filly,Ballylinch Stud,70000.0,Rabbah Bloodstock             ,,
2020.0,Churchill (IRE),Queenscliff (IRE),Filly,Manister House Stud,125000.0,BBA Ireland/Yulong Investments,,
2020.0,No Nay Never (USA),Ravish (GB),Colt,Whitehall Stud,75000.0,SackvilleDonald               ,,
2020.0,Starspangledbanner (AUS),Ravissante (IRE),Filly,Airlie Stud,35000.0,De Burgh Equine/F Stack       ,,
2020.0,Kodiac (GB),Razzmatazz (GB),Filly,Baroda Stud,105000.0,Paddy Twomey                  ,,
2020.0,Sea The Moon (GER),Realt Eile (IRE),Filly,The Castlebridge Consignment,22000.0,M Dods                        ,,
2020.0,Kodi Bear (IRE),Red Saree (IRE),Colt,Tally Ho Stud,,Vendor (55000),,
2020.0,Kodiac (GB),Remember Alexander (GB),Filly,Mountarmstrong Stud,100000.0,Joe Foley                     ,,
2020.0,Dandy Man (IRE),Repose (USA),Filly,Tinnakill House,180000.0,Anthony Dutrow                ,,
2020.0,Galiway (GB),Rex Begonia (FR),Colt,Limekiln Stud,26000.0,Rabbah Bloodstock             ,,
2020.0,Sioux Nation (USA),Rhiannon (IRE),Colt,Whitehall Stud,160000.0,Jamie McCalmont               ,,
2020.0,Zoffany (IRE),Ribble (FR),Colt,Manister House Stud,100000.0,Magnolia Racing               ,,
2020.0,Churchill (IRE),Rien Ne Vas Plus (IRE),Colt,Clare Castle Stud,60000.0,JP O Brien & Fernando Laffon   (PS),,
2020.0,Kodiac (GB),Rio Festival (USA),Filly,Roundhill Stud,,Vendor (75000),,
2020.0,Dandy Man (IRE),Rip Van Music (IRE),Colt,Baroda Stud,64000.0,Avenue Bloodstock             ,,
2020.0,Iffraaj (GB),Roxity (IRE),Colt,Baroda Stud,,Withdrawn,,
2020.0,Dandy Man (IRE),Rugged Up (IRE),Colt,Redpender Stud,290000.0,Stroud Coleman Bloodstock     ,,
2020.0,Kodiac (GB),Sagely (IRE),Filly,Tally Ho Stud,230000.0,Jason Kelly/Bryan Smart       ,,
2020.0,Camacho (GB),Saliyna (FR),Filly,Grangemore Stud,28000.0,BBA Ireland                   ,,
2020.0,Starspangledbanner (AUS),Sampers (IRE),Colt,The Castlebridge Consignment,150000.0,Copper Beech Racing           ,,
2020.0,Cracksman (GB),Santa Luz (GER),Colt,Tally Ho Stud,18000.0,Bobby O Ryan                   (PS),,
2020.0,Tamayuz (GB),Saree (GB),Colt,Ballygallon Stud Ltd,60000.0,Gerry Hogan Bloodstock        ,,
2020.0,Starspangledbanner (AUS),Saucy Spirit (GB),Colt,Abbeville Stud,,Withdrawn,,
2020.0,Churchill (IRE),Scarlet Empire (IRE),Colt,The Castlebridge Consignment,40000.0,Mark Richards                 ,,
2020.0,Ribchester (IRE),Scribonia (IRE),Filly,Boherguy Stud,310000.0,Badgers Bloodstock            ,,
2020.0,Distorted Humor (USA),Sea Mona (USA),Filly,Irish National Stud,72000.0,Niall Brennan                 ,,
2020.0,Starspangledbanner (AUS),Sea of Dreams (IRE),Filly,Ballygallon Stud Ltd,,Not Sold (17000),,
2020.0,Havana Gold (IRE),Secret Existence (IRE),Colt,Kildaragh Stud,60000.0,R O'Ryan/R Fahey              ,,
2020.0,Invincible Spirit (IRE),Seeharn (IRE),Filly,Pier House Stud,100000.0,Niall Brennan/Anthony Dutrow  ,,
2020.0,Dandy Man (IRE),Sense of Victory (IRE),Colt,Boston Stables,32000.0,Patrick Donovan               ,,
2020.0,Mastercraftsman (IRE),Sequester (GB),Colt,The Castlebridge Consignment,72000.0,D Farrington                  ,,
2020.0,Maxios (GB),Set Dreams (FR),Filly,Camas Park Stud,17000.0,Meridian International        ,,
2020.0,Almanzor (FR),Shalanaya (IRE),Filly,Galbertstown Stables,140000.0,Hugo Merry Bloodstock         ,,
2020.0,Zoffany (IRE),Shamwari Lodge (IRE),Filly,Herbertsown House Stud,90000.0,Highflyer Bloodstock          ,,
2020.0,Exceed And Excel (AUS),Sharapova (IRE),Filly,Olive O'Connor Bloodstock,130000.0,Durcan Bloodstock/S Lavery    ,,
2020.0,Mastercraftsman (IRE),Sharqawiyah (GB),Filly,Glacken View,48000.0,Kishore Mirpuri               ,,
2020.0,Lope de Vega (IRE),Shelbysmile (USA),Colt,Lynn Lodge Stud,115000.0,Johnston Racing               ,,
2020.0,Dark Angel (IRE),She's Complete (IRE),Filly,The Castlebridge Consignment,,Not Sold (125000),,
2020.0,Churchill (IRE),Shrimpton (GB),Colt,Glenvale Stud,,Vendor (35000),,
