Name,Year,Sex,Sire,Dam,Trainer,Flat rating,Diff Flat,Flat Clltrl,AWT rating,Diff AWT,AWT Clltrl,Chase rating,Diff Chase,Chase Clltrl,Hurdle rating,Diff Hurdle,Hurdle Clltrl
ADMIRAL'S SUNSET (GB),2013,FILLY,MOUNT NELSON (GB),EARLY EVENING (GB),David Weston,,,,,,,97,,,90,,
ADMIRALITY (GB),2014,GELDING,MOUNT NELSON (GB),DIALMA (USA),,70,,,,,,,,,,,
ADMIRALTY HOUSE (GB),2019,GELDING,SEA THE STARS (IRE),AKRIVI (IRE),Alan King,79,,,,,,,,,118,,
ADMODUM (USA),2013,GELDING,MAJESTIC WARRIOR (USA),UNBRIDLED TREASURE (USA),,57,,,,,,,,,,,
ADRIAN (GER),2017,GELDING,RELIABLE MAN (GB),ANNA DESTA (GER),Bernard Llewellyn,100,,,,,,,,,,,
ADRIMEL (FR),2015,GELDING,TIRWANAKO (FR),IRISE DE GENE (FR),Tom Lacey,,,,,,,134,,,,,
ADVANTURA (IRE),2017,GELDING,WATAR (IRE),KEYS HOPE (IRE),Philip Hobbs,,,,,,,87,,,,,
ADWAN (GB),2020,COLT,OASIS DREAM (GB),TRIPLE STAR (GB),,71,,,,,,,,,,,
AE FOND KISS (GB),2019,FILLY,TIME TEST (GB),AURORA GRAY (GB),Ed de Giles,65,,,,,,,,,,,
AEGIS POWER (GB),2019,GELDING,NATHANIEL (IRE),ROBEMA (GB),Andrew Balding,70,,,,,,,,,,,
AEONIAN (IRE),2019,GELDING,ULYSSES (IRE),AMA (USA),,91,,,,,,,,,,,
AERION POWER (IRE),2018,COLT,KINGMAN (GB),APPLAUDED (IRE),Sir Michael Stoute,97,,,,,,,,,,,
AERONISI (IRE),2016,GELDING,KALANISI (IRE),CARRIGEEN LONICERA (IRE),Evan Williams,,,,,,,107,,,,,
AESTHETIC (GB),2020,FILLY,LOPE DE VEGA (IRE),IONIC (GB),,59,,,,,,,,,,,
AFFAIR (GB),2014,FILLY,SAKHEE'S SECRET (GB),SUPATOV (USA),Hughie Morrison,43,,,,,,,,,,,
AFFWONN (IRE),2017,GELDING,FREE EAGLE (IRE),SHAUNA'S PRINCESS (IRE),,75,,,,,,,,,,,
AFKAAR (USA),2018,GELDING,KITTEN'S JOY (USA),CELESTIAL WOODS (USA),,55,,,,,,,,,,,
AFRICAN DANCE (IRE),2015,GELDING,SHIROCCO (GER),DANI CALIFORNIA (GB),Olly Murphy,,,,,,,121,,,121,,
AFRICAN SUN (IRE),2017,GELDING,TEOFILO (IRE),CASTLE CROSS (IRE),Joanne Thomason-Murphy,,,,,,,,,,74,,
AFTA PARTY (IRE),2018,GELDING,MASTERCRAFTSMAN (IRE),WOOD FAIRY (GB),Syd Hosie,75,,,,,,,,,98,,
AFTER EIGHT (IRE),2019,COLT,ROCK OF GIBRALTAR (IRE),PEPPERMINT GREEN (GB),Andrew Balding,70,,,,,,,,,,,
AFTER JOHN (GB),2016,GELDING,DUTCH ART (GB),ROSACARA (GB),Iain Jardine,71,,,,,,,,,,,
AFTER THE FOX (GB),2015,GELDING,UNIVERSAL (IRE),FOXGLOVE (GB),Mrs Jane Williams,,,,,,,,,,90,,
AFTER THE RAIN (IRE),2019,FILLY,SHAMARDAL (USA),ANJAZ (USA),,83,,,,,,,,,,,
AFTERLIFE (GB),2020,COLT,KODIAC (GB),ETERNALLY (GB),Robert Cowell,83,,,,,,,,,,,
AGAINST THE ODDS (GB),2013,GELDING,CHAMPS ELYSEES (GB),GENEROUS DIANA (GB),,57,,,,,,,,,,,
AGAPANTHER (GB),2019,FILLY,OUTSTRIP (GB),BYRONESS (GB),Heather Main,55,,,,,,,,,,,
AGE OF SAIL (GB),2019,GELDING,FRANKEL (GB),CONCORDIA (GB),Gary Moore,76,,,,,,,,,116,,
AGE OF WISDOM (IRE),2013,GELDING,PIVOTAL (GB),LEARNED FRIEND (GER),,,,,,,,,,,93,,
AGENT EMPIRE (GER),2018,GELDING,SIDESTEP (AUS),ADALEA (GB),Oliver Signy,,,,,,,,,,73,+1,
AGENT OF FORTUNE (GB),2015,FILLY,KHELEYF (USA),ROYAL BLOOM (IRE),,45,,,,,,,,,,,
AGENT SAONOIS (FR),2016,GELDING,SAONOIS (FR),AGOSTA (FR),Neil Mulholland,,,,,,,73,,,,,
AGENT SONYA (IRE),2019,FILLY,DUBAWI (IRE),VERY SPECIAL (IRE),,70,,,,,,,,,,,
AGENT VALDEZ (GB),2013,FILLY,ARVICO (FR),SOLEIL SAUVAGE (GB),J. A. Swinbank,,,,,,,107,,,,,
