Stallion,Offered,Sold,High £,Av. £,Med. £,Colt Av. £,Colt Med. £,Filly Av. £,Filly Med. £,year,age
Gregorian,19,17,"116,210","19,604","14,700","14,478","14,700","25,370","13,125",2022,yearling
Dream Ahead,28,22,"71,946","20,395","14,532","19,592","15,351","21,197","13,713",2021,yearling
Fascinating Rock,12,11,"105,000","26,155","14,442","22,607","12,106","35,616","19,850",2021,yearling
Amaron,24,16,"44,576","18,166","14,438","15,807","10,125","21,200","25,312",2021,yearling
City Light,55,48,"71,851","18,306","14,401","18,769","14,051","17,802","14,752",2022,yearling
Al Wukair,43,36,"93,107","19,257","13,582","17,691","15,428","22,027","11,850",2021,yearling
Reliable Man,19,13,"188,591","28,681","13,543","13,891","9,310","41,359","16,929",2021,yearling
Recoletos,27,20,"35,577","15,167","13,450","17,989","14,752","11,718","11,281",2022,yearling
Helmet,15,12,"30,375","13,384","13,186","10,970","9,281","20,625","16,929",2021,yearling
Highland Reel,26,23,"65,100","22,348","13,168","20,357","16,500","25,444","13,168",2021,yearling
Ribchester,69,59,"89,250","18,716","13,016","20,420","13,114","15,851","12,258",2022,yearling
Best Solution,25,17,"103,998","20,113","13,000","25,991","6,836","16,000","13,335",2022,yearling
Mastercraftsman,36,28,"134,088","26,151","12,933","30,254","20,000","18,765","4,839",2022,yearling
Seabhac,23,15,"65,175","16,332","12,856","15,939","14,046","16,782","6,857",2021,yearling
Lawman,22,19,"67,714","20,355","12,696","14,481","11,850","25,642","19,998",2021,yearling
Anodin,43,35,"62,109","15,663","12,696","16,803","13,761","14,144","9,311",2021,yearling
Dawn Approach,16,14,"25,586","13,176","12,671","14,111","12,743","11,493","12,600",2021,yearling
Toronado,38,32,"104,216","20,353","12,624","24,796","11,281","17,313","13,884",2022,yearling
James Garfield,18,15,"57,750","18,412","12,557","20,844","14,351","8,682","6,300",2022,yearling
Bobby's Kitten,19,14,"70,350","19,316","12,075","16,593","12,930","26,125","12,075",2021,yearling
Massaat,38,31,"45,000","16,115","12,000","14,796","7,912","17,522","12,600",2021,yearling
Washington Dc,31,22,"52,500","16,620","11,775","16,115","11,550","17,703","12,000",2021,yearling
Mukhadram,11,11,"27,431","11,026","11,550","10,949","11,550","11,090","8,471",2021,yearling
Brazen Beau,43,33,"47,250","13,011","11,550","10,776","10,500","15,694","12,083",2021,yearling
The Grey Gatsby,30,24,"93,107","15,489","11,427","12,529","10,580","18,450","11,501",2021,yearling
Recoletos,29,20,"67,714","15,250","11,426","14,947","14,812","15,451","9,792",2021,yearling
Zelzal,30,25,"45,122","14,398","11,281","15,028","12,153","13,279","10,413",2022,yearling
Born to Sea,20,19,"32,133","12,865","11,281","13,434","12,133","12,451","8,757",2022,yearling
Highland Reel,44,38,"65,000","15,720","10,666","15,109","10,500","16,656","10,981",2022,yearling
Le Brivido,25,21,"66,816","18,419","10,500","19,373","10,500","16,870","11,675",2022,yearling
Lightning Spear,12,11,"43,052","14,720","10,500","15,319","12,075","13,671","5,292",2022,yearling
Raven's Pass,14,13,"42,669","14,010","10,500","17,547","14,550","8,351","6,300",2021,yearling
Vadamos,19,15,"34,083","13,318","10,424","16,325","14,000","7,305","7,018",2022,yearling
Bungle Inthejungle,50,43,"68,250","16,753","10,311","21,167","15,499","10,003","6,278",2022,yearling
Order of St George,21,18,"44,506","13,596","10,270","15,557","13,967","8,498","7,656",2021,yearling
Gutaifan,36,32,"42,854","13,438","10,175","15,571","12,946","11,022","10,157",2021,yearling
Dream Ahead,31,24,"43,387","15,414","10,036","13,582","11,763","16,722","9,549",2022,yearling
Eqtidaar,41,30,"63,000","16,281","10,000","14,485","7,734","17,654","13,650",2022,yearling
Jack Hobbs,20,17,"50,000","14,588","10,000","14,833","10,500","14,312","9,500",2022,yearling
Cityscape,22,19,"45,000","14,568","10,000","15,891","11,825","12,300","6,300",2021,yearling
Elzaam,40,33,"62,140","14,336","9,925","13,234","9,962","16,541","7,768",2021,yearling
Elzaam,27,20,"42,000","13,603","9,553","16,447","13,115","6,966","6,659",2022,yearling
Dabirsim,65,54,"185,968","15,821","9,406","11,263","8,782","21,109","10,413",2022,yearling
Tai Chi,17,14,"32,062","11,392","9,362","14,609","12,791","8,979","9,362",2021,yearling
